-40,20,-40,130, 
60,20,-140,-170, 
100,20,-100,-170, 
-100,-170,-100,-220, 
-280,-40,-140,-40, 
-140,-70,-40,20, 
-140,-40,-70,20, 
-70,20,-70,130, 
-40,130,-40,180, 
-70,130,-230,130, 
-230,130,-230,-40, 
-360,180,-360,-90, 
-360,-90,-280,-90, 
100,130,250,130, 
250,130,250,20, 
250,20,120,20, 
100,20,270,-160, 
120,20,290,-160, 
270,-160,270,-220, 
270,-220,350,-220, 
350,-220,350,-100, 
350,-100,330,-100, 
290,-160,290,-100, 
290,-100,310,-100, 
290,-100,240,-100, 
240,-100,240,-30, 
240,-30,350,-30, 
350,-100,350,-40, 
350,-40,460,60, 
350,-30,460,70, 
460,60,460,20, 
460,20,520,20, 
520,110,460,110, 
460,70,460,100, 
-40,130,70,130, 
460,100,410,100, 
410,190,520,190, 
520,190,520,110, 
410,190,410,160, 
410,100,410,140, 
100,130,190,180, 
-40,250,10,250, 
10,300,-110,300, 
-110,300,-110,210, 
-80,180,-80,270, 
-80,270,-10,270, 
-110,300,-200,300, 
-200,300,-200,250, 
-200,250,-160,250, 
-160,250,-160,210, 
-130,180,-130,270, 
-130,270,-190,270, 
-160,210,-360,210, 
-360,210,-360,180, 
-360,190,-150,190, 
-130,200,-340,200, 
-40,210,-40,230, 
190,180,410,140, 
190,210,190,290, 
190,290,90,290, 
90,330,270,330, 
270,330,270,290, 
-40,20,30,20, 
240,260,410,190, 
220,210,410,160, 
240,260,270,290, 
90,330,10,300, 
90,290,10,250, 
-40,210,190,210, 
-40,180,150,180, 
150,180,70,130, 
30,20,30,90, 
30,90,70,130, 
100,110,100,20, 
100,60,230,60, 
250,90,120,90, 
60,20,60,90, 
-140,-70,-140,-170, 
-280,-40,-100,-220, 
-80,180,-330,180, 
120,-180,100,20, 
100,20,90,-180, 
90,-180,120,-180, 
